"avg_salary_per_skill","number_of_appearances","skills"
"145013.973333333333","75","sql"
"148181.048076923077","52","python"
"148810.756097560976","41","tableau"
"148747.424242424242","33","r"
"138207.535714285714","28","sas"
"149858.458333333333","24","excel"
"145115.775000000000","20","power bi"
"150660.642857142857","14","snowflake"
"146894.625000000000","12","looker"
"151520.136363636364","11","go"
"154415.350000000000","10","aws"
"165961.500000000000","9","azure"
"155115.166666666667","9","hadoop"
"128428.571428571429","7","bigquery"
"166151.785714285714","7","oracle"
"131083.333333333333","6","sheets"
"165594.333333333333","6","databricks"
"181138.250000000000","6","pandas"
"142833.333333333333","6","flow"
"137800.000000000000","5","sql server"
"142975.700000000000","5","nosql"
"153800.000000000000","5","java"
"150161.800000000000","5","jira"
"138103.000000000000","5","redshift"
"141875.000000000000","4","spark"
"129922.625000000000","4","spss"
"141378.750000000000","4","airflow"
"135786.625000000000","4","vba"
"159332.375000000000","4","powerpoint"
"155202.250000000000","4","confluence"
"173666.666666666667","3","numpy"
"136838.333333333333","3","visio"
"151505.000000000000","3","scala"
"127333.333333333333","3","sharepoint"
"144600.000000000000","3","ssis"
"146333.333333333333","3","c++"
"122250.000000000000","2","word"
"138610.750000000000","2","alteryx"
"189154.500000000000","2","atlassian"
"189154.500000000000","2","bitbucket"
"131000.000000000000","2","c"
"190250.000000000000","2","crystal"
"134000.000000000000","2","dax"
"132500.000000000000","2","gcp"
"159500.000000000000","2","git"
"195500.000000000000","2","gitlab"
"141820.000000000000","2","javascript"
"190414.750000000000","2","jupyter"
"132500.000000000000","2","kubernetes"
"162757.500000000000","2","mysql"
"123500.000000000000","2","outlook"
"132285.000000000000","2","phoenix"
"142757.500000000000","2","postgresql"
"208172.250000000000","2","pyspark"
"142500.000000000000","2","qlik"
"143000.000000000000","2","ssrs"
"153750.000000000000","2","swift"
"148238.500000000000","1","microstrategy"
"145000.000000000000","1","scikit-learn"
"124500.000000000000","1","microsoft teams"
"165000.000000000000","1","matlab"
"125000.000000000000","1","shell"
"160515.000000000000","1","linux"
"189309.000000000000","1","jenkins"
"145000.000000000000","1","golang"
"130000.000000000000","1","github"
"145000.000000000000","1","elasticsearch"
"148238.500000000000","1","db2"
"160515.000000000000","1","watson"
"125000.000000000000","1","bash"
"147285.000000000000","1","t-sql"
"155485.500000000000","1","datarobot"
"127000.000000000000","1","twilio"
"130000.000000000000","1","unix"
"160515.000000000000","1","couchbase"
"160515.000000000000","1","cognos"
"189309.000000000000","1","sap"
"125000.000000000000","1","notion"
